Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
"Griewank plus Rosenbrock, Amplified and Dampened",0.3967705927150865,0.6507340925486541,0.2833677283807715,0.30920243596023145,0.24724013682709298,0.11078343373406073,0.23766143103867937,0.10849753805300229,0.09652756143039726,0.08097286138465042,0.09652197257050803,0.0809739984918889
Ridge,-9.999986291786847,6.8117342105669655e-06,-9.999997007404307,1.5307583582478272e-06,-9.999998726483472,5.659930399643523e-07,-9.999999715053697,1.6487826185645285e-07,-9.99999949198941,1.977303385636658e-07,-9.999999896424894,3.7688025322762346e-08
Shekel-25,12.67050581118133,1.2107654427667075e-10,12.670505811136715,1.2747602296341021e-12,12.670505811137026,2.6893711562160476e-12,12.670505811136259,9.559321031651862e-13,12.67050581113605,1.4414023378896429e-12,12.670505811135689,9.548971374587229e-14
Shubert-3,-18.74014848158074,0.8997876638865089,-19.4980612852314,0.2619455760105929,-18.01184614250629,1.2104117204118572,-18.30855784749649,1.0540362367052496,-19.785984463518968,0.05650276317009963,-19.80791855647023,0.0021689724418729127
Trid,-1.9999999982022998,4.935929430765689e-09,-1.9999999999197309,1.1933542490889574e-10,-1.9999999999564146,4.721281398624289e-11,-1.9999999999792386,3.616056836544373e-11,-1.9999999999987077,1.0505016945685362e-12,-1.9999999999997196,2.2118756852084924e-13
Egg Crate,1.4318391468312221e-08,3.83739015012875e-08,8.437648863479978e-10,1.972915613340086e-09,0.07112775029091707,0.32444709559254176,0.06259298770601877,0.30366777777191656,1.782343902903573e-11,2.304944054435828e-11,3.643892110791347e-12,3.0315045152770092e-12
Himmelblau,0.8709531861871809,1.7707009019014601,0.02237398489348294,0.057093570210620254,0.013427237486418789,0.04089712438467602,0.004413922372989686,0.008819195815278517,0.06078819615883245,0.424191564162761,4.054063270034803e-05,0.00020270394922498113
Holder Table Function,-18.997890398761676,0.4332635282112324,-19.171662005801593,0.06815276893553701,-18.974302282919858,0.2543507132497337,-18.9984586108608,0.2389828021779943,-19.1982358468653,0.04078560775918887,-19.206653157766677,0.007092384416443602
Keane Function,-0.6669101858520377,0.00953174480145483,-0.673587338928909,0.0001769418699577403,-0.6734461278021917,0.0007628027066205769,-0.6736277786830307,8.092416426441351e-05,-0.6736654612388989,5.639207080237561e-06,-0.673666870177835,2.1835806640510353e-06
Bird Function,-100.08073810689257,19.235207719267635,-104.64867578359721,5.526842336359347,-105.36576059140526,1.7461723909114435,-105.67926373765403,1.6524930018404127,-106.76402005262742,0.0017005383498311089,-106.76441325369004,0.0006451946278051671
Xin-She Yang N.4,-0.998210478520494,0.007389750701846277,-0.9987587747592204,0.00581367491638406,-0.8101044409342889,0.21410639803542827,-0.8234558442948756,0.20967804722848113,-0.9999915684106979,1.820812529896847e-05,-0.9999967125072664,6.137310131200808e-06
Cross-in-Tray,-2.060644057937717,0.0037488035136588587,-2.0625843664879224,6.652974809847875e-05,-2.0625614322734513,0.00017812219950914078,-2.0626062285553517,1.1774287903332305e-05,-2.0626077012296333,2.4690538379650678e-05,-2.0626118536854317,5.877748911633194e-08
Schwefel 2.21,8.470818715719964e-05,3.617482948890873e-05,2.31028059690262e-05,1.2994461547482868e-05,4.280781475860424e-05,1.5444835604794146e-05,2.9032708491049136e-05,1.087438674197133e-05,7.50223121017174e-06,2.5888878362784903e-06,3.858053190640343e-06,1.3873872130235972e-06
