Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
"Griewank plus Rosenbrock, Amplified and Dampened",0.07999032928051304,6.935270855426801e-16,0.0799903292805118,3.50707376652391e-16,0.25374953400321365,0.22685051365888304,0.253749534003212,0.22685051365888376,0.0799903292805125,5.421456876179771e-16,0.07999032928051178,5.053592190466791e-16
Ridge,-9.999999999997643,7.169077757775093e-12,-9.999999999997643,7.169077757775093e-12,-9.999999999990486,2.3674010429491298e-11,-9.999999999990516,2.3658551043119513e-11,-9.999999999999726,6.413540981129159e-13,-9.99999999999973,6.41588147631481e-13
Shekel-25,12.670505811160709,1.8391114084345402e-10,12.670505811136149,5.232213381306695e-12,12.670505811138227,1.4003947988418864e-11,12.670505811138227,1.4004172130082483e-11,12.670505811135621,9.563417570592307e-14,12.670505811135621,9.58518595186512e-14
Shubert-3,-17.01952424194357,6.902684867427649,-18.888445675237445,2.4046554542747383,-16.875283942346172,3.7081063052992653,-17.189382496014247,3.242139647733188,-19.720403911155174,0.7087428569215369,-19.720403911159075,0.7087428569218384
Trid,-2.0,2.51214793389404e-16,-2.0,0.0,-1.9999999999188802,1.6359522905833884e-10,-1.9999999999188802,1.6359523405025969e-10,-2.0,0.0,-2.0,0.0
Egg Crate,4.6288196195367425e-18,4.601204256170767e-17,4.6288196195367425e-18,4.601204256170767e-17,1.3775254208174651e-09,3.5870129295110676e-09,1.3775252352098583e-09,3.5870129956563742e-09,1.6689688391222254e-18,2.072405137563353e-18,1.6688772984565266e-18,2.072418188585438e-18
Himmelblau,3.0130306283820305,20.19734409208688,0.06735569638051421,0.5250269952975009,0.032537270223035236,0.14838315624017123,0.03253727022297741,0.14838315624009998,0.12565246450658907,1.2502262362516174,9.818211675876632e-11,9.731051447121245e-10
Holder Table Function,-18.127123220850862,4.2977510592958135,-19.105448375716804,0.5428534013745812,-18.89292524788332,0.7955368229762299,-18.892925247883394,0.7955368229762567,-19.208502567808626,5.301963579847436e-10,-19.20850256780864,5.301958968994077e-10
Keane Function,-0.6408286726134697,0.14322103527555835,-0.672739078439244,0.0054632647883836845,-0.6735320023493442,0.0005035045929301793,-0.6735320023493627,0.0005035045929344731,-0.6617357882291925,0.08390266912001465,-0.6736674194141113,1.0122278563949842e-06
Bird Function,-101.2216460224214,24.160926621211328,-106.48150854033888,1.6353859563712694,-103.54879698263096,6.309363866906612,-103.64399633482532,6.229599479695249,-106.37466747175135,2.725247954311877,-106.37466747175138,2.725247954311879
Xin-She Yang N.4,-0.9681477488252073,0.18149433541688348,-0.9699998582974207,0.17058802473600665,-0.7679998317872107,0.41977772151237364,-0.7679998318434156,0.41977772154343407,-0.9999999990375553,7.28112563811349e-10,-0.9999999990387931,7.27064737451324e-10
Cross-in-Tray,-2.0494816051267226,0.09981298596470016,-2.062582348057644,0.00025358901835785894,-2.0625883765283146,0.00010156431020328982,-2.0625883765283213,0.00010156431020453912,-2.0626117391409675,1.1006816149162672e-06,-2.0626118436121392,1.7973678693104004e-07
Schwefel 2.21,2.9409876712787535e-11,6.803578599779e-11,2.9409875557036444e-11,6.803578649586814e-11,3.5754160847659583e-05,4.5482537827536375e-05,3.575245620350031e-05,4.548367105037307e-05,5.263091590709999e-09,7.572999228952298e-09,5.262457362238394e-09,7.5733198914637e-09
