Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
"Griewank plus Rosenbrock, Amplified and Dampened",0.4932119277837433,5.637312177207507e-09,0.49321192695541566,4.3263571174954824e-10,0.3098982032759108,0.31281467892711207,0.2980198049962628,0.30931313288397905,0.08860602124151637,0.05969126452496083,0.08860602120200656,0.059691264530663576
Ridge,-9.999989809170701,2.4543621914919793e-05,-9.999996415248548,1.001864088009995e-05,-9.999996978215703,3.7349217179774205e-06,-9.999998915283006,1.5926107158744705e-06,-9.999999537148529,9.722472672983987e-07,-9.999999880480821,1.4912507585622846e-07
Shekel-25,12.670505811135675,7.092050853309891e-13,12.670505811135559,2.507914730395268e-14,12.670505811136179,1.0644890482341969e-12,12.670505811136042,8.240309438528282e-13,12.670505811135591,9.570719121662099e-14,12.670505811135572,7.068398966112522e-14
Shubert-3,-18.506490786851685,5.881965102639586,-19.489415537377294,1.6005877063990244,-16.599086817920025,3.1247920135196803,-17.01787271080918,3.0057275001132466,-19.808593751102507,0.0023549855021940654,-19.809191582473154,5.6501366727872245e-05
Trid,-1.9999999990243322,5.354996803172119e-09,-1.9999999999219265,3.3963510408897154e-10,-1.9999999999208888,2.9653677478479836e-10,-1.9999999999837175,2.588902573938176e-11,-1.9999999999988862,1.9456409835565945e-12,-1.9999999999998406,1.603611402411722e-13
Egg Crate,2.3756640374175736e-08,1.3647302007057195e-07,1.1062708400177775e-09,4.6951215659387115e-09,0.05023861581973032,0.2928376428089118,0.005451182229930692,0.028567182086959485,2.253557818605532e-11,3.1359271082897354e-11,5.359296577110892e-12,1.3624643330384627e-11
Himmelblau,0.03723422122986263,0.25795951994889027,0.00016827158545014073,0.0011656086255090637,0.000693290965796585,0.0033574559570116393,0.0006926980261725825,0.0033575752395943953,2.3268527237198736e-07,1.5306412468910042e-06,1.351744959606062e-09,3.562116720652051e-09
Holder Table Function,-18.820288207093327,2.6896277872856924,-19.125476470737595,0.5752216673394355,-19.12884446763613,0.2563709550716735,-19.15396126830326,0.20361333705346996,-19.20850256636001,9.844707011151802e-09,-19.208502566446974,9.831673945083878e-09
Keane Function,-0.6487019147345907,0.10561314993723078,-0.6727371265750194,0.0039826547192057995,-0.6736619922087335,3.760770903799158e-05,-0.6736663938828968,7.765345260610874e-06,-0.6736674835432873,1.7953748126241427e-07,-0.6736675154406232,1.2318449130528329e-08
Bird Function,-104.31608966392542,15.730904496581294,-106.71135256419167,0.36823427233891837,-100.23909441447809,22.000873749902212,-104.44965867891963,6.004848685575359,-106.7645201449277,8.78287200638244e-05,-106.76453654486657,9.82894209531177e-07
Xin-She Yang N.4,-0.9998118731993328,0.0006008497992184643,-0.999929096868588,0.0003535424964766559,-0.8665147802935149,0.32835142544659246,-0.8712398173372085,0.3266078614089701,-0.9999920047968216,1.4950096588389025e-05,-0.9999970543457537,4.581649850078138e-06
Cross-in-Tray,-2.0626118104519557,3.025696959179299e-07,-2.0626118252772225,2.2161080407189305e-07,-2.0626118635633297,4.319634059638731e-08,-2.062611864577487,4.287828579873154e-08,-2.062611870754918,1.865765232176101e-10,-2.062611870809258,2.6027662994781506e-11
Schwefel 2.21,9.971205287598678e-05,0.0002773796878795441,4.0349398923292914e-05,0.00016368346261906797,3.960381899185352e-05,3.964533526150241e-05,2.445861834836761e-05,1.6946738942444313e-05,4.808203339736625e-06,3.593594533697741e-06,2.4197283507071883e-06,1.8137158663404234e-06
