Function,PSO Final Mean,PSO Final Std,PSO PB Mean,PSO PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,0.08146215608551696,0.32327155449369877,0.0006465647508083341,0.002919898325549673,0.0007187646998218147,0.003341047673436314,2.464709342126884e-05,0.00011409128781783135,0.00012544088086916737,0.000665831883296955,3.588460505289558e-06,1.1627350113879033e-05
Rosenbrock,14.292791478784839,49.611299439839776,0.016744409458909527,0.05162896799650747,0.885005143101483,2.3689965430592745,0.001677221847187076,0.003796549160866329,0.26615474743648254,0.8643496802837729,0.00048224120663505385,0.0012402074227841917
Ackley,2.634801075309454,3.3995865445034403,0.44835894709671154,0.741490858263062,0.5278282073253208,0.9436729258233646,0.050768249247213924,0.07897507856466324,0.1578221420989445,0.37206601816649865,0.019096884941809274,0.03574884576097626
Griewank,1.5457190752572665,1.3749356080964719,0.17086535188485727,0.1384087607219564,0.7181396283752666,0.5061444520695033,0.06717729853309613,0.05223720137366986,0.49256687494697937,0.39241395087399045,0.04555609027976438,0.033477961891560847
Rastrigin,5.617787868438566,8.573849120845045,0.326256667517964,0.7059693531705125,0.6029597277555306,2.2126892211743017,0.023078135699161364,0.11257384080147093,0.09421611342918315,0.40567389837888695,0.0020569766239224617,0.010090211127109248
Schaffer2D,0.35877809256559035,0.3490730476872496,0.009686094655974939,0.01650166120615783,0.07896806157655403,0.15630312662273407,0.0011203636329899065,0.0038136109610140143,0.02565841873836588,0.0719731068355357,0.00028489113414146145,0.0012580299296293723
Shifted Sphere,0.0723133714492149,0.27166892727263636,0.0006067222017856011,0.0024457500176017855,0.00206327786415445,0.008239321354876886,1.9291809244399317e-05,6.600781004166135e-05,0.00015290304928378256,0.0007814727563259604,2.962230153553462e-06,1.0236954849792783e-05
Shifted Schwefel,0.09886933889551028,0.17961467505657416,0.01230302787569548,0.01899946161091585,0.012200249324614967,0.033924926570154564,0.001928051206218394,0.0032653273677770898,0.0036198912388837588,0.007629063564512211,0.0007046792538398597,0.0010320356151554597
Shifted and Rotated Elliptic,27.26678202140014,78.37118757759742,0.2505082440486662,0.8719091612405879,1.0608927823851362,12.445699795572681,0.0075524642439497415,0.025980051022035138,0.08121166957240894,0.5356917073277115,0.0015283116469636936,0.005908373463032188
Schwefel shifted with Noise,0.3179328133235145,0.34484222783839785,-0.28213765634630333,0.12376292693253362,0.041942409905865376,0.17981102853124464,-0.3858753523495864,0.092931546709472,-0.03778248347259519,0.14431650823575357,-0.42464156273350256,0.08473759029917953
El-Attar-Vidyasagar-Dutta,111.36121775911495,707.6111985956592,2.125600118258576,1.9843855512227933,2.643385449317617,5.783498024972924,1.724912016706127,0.04807903195171474,1.8101382834994442,0.4023928867468071,1.714885965510159,0.00613751958067207
Weierstrass,-1.4559533747211082,1.0559743241144555,-2.2356868090444535,0.2680598520633126,-2.2095180120716336,0.34356470505180126,-2.4149518344850534,0.08304756329390953,-2.323730855689769,0.2108815546741916,-2.44372028547789,0.05598141749746408
Shifted Rotated Griewank,1.5689637192134023,1.2950405270251422,0.15489274083806573,0.1322742278312164,0.7311087656044739,0.4869821113428465,0.06340097286477976,0.0561841147551001,0.5236624122473501,0.400880614038164,0.03892846565100549,0.03459490040579925
Shifted Rotated Ackley,-2.4550602770400802,3.443515420859162,-4.496333488068764,0.858365626116421,-4.47766496994684,1.1100621356693785,-4.945589301475751,0.12571616611050074,-4.835205479028343,0.42435870378644697,-4.978057370620542,0.04338960639704349
Shifted Rastrigin,-14.635592159009216,8.456444522860032,-19.648281131384064,0.694851654613643,-19.59349642728739,1.2482096465030141,-19.97832308461406,0.07315166176997334,-19.877636481165347,0.6920525645031446,-19.994955764386116,0.01593076464598452
Shifted Rotated Rastrigin,-14.26993393409126,8.601281007067618,-19.619017666402918,0.7887115029867504,-19.54518581466569,1.297943667305959,-19.983517583467457,0.055593992232374795,-19.866529757997718,0.6828450879524026,-19.99720622593894,0.011941369932427712
Weirstrass shifted and Rotated,-1.780272394195188,0.2979167401739118,-1.9699471774159028,0.06127321315010771,-1.9539959312162063,0.0830541805792441,-2.0122938539842683,0.02444704205741435,-1.9857362627084973,0.05161590805276904,-2.021927956131633,0.016292252510165747
Schwefel,0.08405236114730691,0.1499626946966741,0.010030928830962207,0.015646845722714648,0.010913478364369102,0.018369683133077765,0.001946598354453562,0.002882237542786752,0.0042180617576732735,0.008418986462392057,0.0008374800275578872,0.001455489293959258
"Griewank plus Rosenbrock, Amplified and Dampened",0.48498348981722605,1.6513165360871354,0.09849085942900775,0.12170022763591759,0.08713082600911015,0.0604912805903941,0.08007595466561383,0.00027981567095148853,0.08102930671280567,0.007231860084226509,0.08001124104102403,8.089973424980234e-05
Ridge,-9.727451599048875,0.7313578518311359,-9.990754691431212,0.020729003264037985,-9.983630479975224,0.06490888408165861,-9.999235712310723,0.0014958647145356036,-9.996230682825681,0.014540968405678308,-9.999761360818571,0.000543019185266415
Shekel-25,16.3617398571635,22.49981555311359,12.670511654595074,4.445035200671035e-05,12.672575662395339,0.019089997529316907,12.670505813197313,2.60403196493407e-08,12.670512825436358,9.97682045506335e-05,12.67050581119808,1.3786123634361842e-10
Shubert-3,-12.125262834864884,8.052260731677684,-18.77217874699358,1.9438344191893573,-18.229707567330262,3.4694542160790456,-19.732291429930342,0.2867728603800555,-19.377715800744394,1.5077164239045282,-19.79121720028274,0.11652969504432122
Trid,-1.6662170415055955,1.105127614412718,-1.9962276930460745,0.014262530111771555,-1.9880899028971384,0.05209963194001853,-1.9998567714287558,0.0007293537985405225,-1.9968951168528233,0.031629628937458854,-1.9999777700461479,7.467457185977863e-05
Egg Crate,1.4254442683496125,4.338235759639337,0.0161658078830847,0.06103715807480773,0.02327808125183564,0.10445809731092416,0.0004939774645191904,0.001852513017922827,0.0024630049733879093,0.014165475602997423,0.00010809046253468119,0.0006036492750033317
Himmelblau,5.99572067025887,28.077418972703505,0.17208371104157102,0.9703569611133444,0.18830357034889297,2.261867805915553,0.0010221968323718836,0.00402823421657387,0.010372890121816554,0.06634930050571451,0.00024098505942897946,0.0012305268741244822
Holder Table Function,-16.403422431626392,5.408292418310666,-18.795647860870222,1.8282246125296349,-19.072567742798174,0.9343009863165695,-19.203864931677053,0.06974764013667231,-19.1999297375228,0.04657148532643451,-19.208327910976614,0.0005019704518823803
Keane Function,-0.44181296623952193,0.269791305488809,-0.6645846375441221,0.01830256303134129,-0.6418884905522269,0.09656183335735567,-0.6730738691183885,0.0020307526548094218,-0.6681897821697885,0.02393618667071715,-0.673540898471947,0.0004154123033487642
Bird Function,-81.0778209850237,43.773682253801205,-104.499060067628,6.78840264469576,-104.66997309851287,11.457403809892368,-106.73431787997738,0.17082652822807934,-106.5946316325139,0.8325622754052746,-106.76122579593837,0.016582056042882314
Xin-She Yang N.4,-0.7769728743338973,0.36158643859903733,-0.9676283805939708,0.0825025506854119,-0.9759340060258873,0.05535257158628926,-0.9953007965934942,0.008711884432200941,-0.990725679138309,0.01724830668000162,-0.9979346399518206,0.0037138394036628636
Cross-in-Tray,-1.992005466323361,0.14685237822814176,-2.0619607053817286,0.0014291366320809391,-2.0593171408100144,0.013923382556465354,-2.0625609604475055,0.00018568726139858266,-2.0623108443121354,0.001317703332156207,-2.062600091997542,2.98580099381262e-05
Schwefel 2.21,2.5300755749100476,4.331140749522484,0.2602668873885668,0.40873421728664777,0.3473081195232616,0.8544758886301568,0.04583121846285139,0.07477916502871723,0.13572942840303634,0.238627074259248,0.02269181773537727,0.04088079990409463
